sample-id	forward-absolute-filepath	reverse-absolute-filepath
1AM	/path/to/demultiplexed-fastq/240701__1AM.forward.fastq	/path/to/demultiplexed-fastq/240701__1AM.reverse.fastq
1GL	/path/to/demultiplexed-fastq/240701__1GL.forward.fastq	/path/to/demultiplexed-fastq/240701__1GL.reverse.fastq
1HP	/path/to/demultiplexed-fastq/240701__1HP.forward.fastq	/path/to/demultiplexed-fastq/240701__1HP.reverse.fastq
1KN	/path/to/demultiplexed-fastq/240701__1KN.forward.fastq	/path/to/demultiplexed-fastq/240701__1KN.reverse.fastq
1OM	/path/to/demultiplexed-fastq/240701__1OM.forward.fastq	/path/to/demultiplexed-fastq/240701__1OM.reverse.fastq
1PM	/path/to/demultiplexed-fastq/240701__1PM.forward.fastq	/path/to/demultiplexed-fastq/240701__1PM.reverse.fastq
2AM	/path/to/demultiplexed-fastq/240701__2AM.forward.fastq	/path/to/demultiplexed-fastq/240701__2AM.reverse.fastq
2GL	/path/to/demultiplexed-fastq/240701__2GL.forward.fastq	/path/to/demultiplexed-fastq/240701__2GL.reverse.fastq
2HP	/path/to/demultiplexed-fastq/240701__2HP.forward.fastq	/path/to/demultiplexed-fastq/240701__2HP.reverse.fastq
2KN	/path/to/demultiplexed-fastq/240701__2KN.forward.fastq	/path/to/demultiplexed-fastq/240701__2KN.reverse.fastq
2OM	/path/to/demultiplexed-fastq/240701__2OM.forward.fastq	/path/to/demultiplexed-fastq/240701__2OM.reverse.fastq
2PM	/path/to/demultiplexed-fastq/240701__2PM.forward.fastq	/path/to/demultiplexed-fastq/240701__2PM.reverse.fastq
3AM	/path/to/demultiplexed-fastq/240701__3AM.forward.fastq	/path/to/demultiplexed-fastq/240701__3AM.reverse.fastq
3GL	/path/to/demultiplexed-fastq/240701__3GL.forward.fastq	/path/to/demultiplexed-fastq/240701__3GL.reverse.fastq
3HP	/path/to/demultiplexed-fastq/240701__3HP.forward.fastq	/path/to/demultiplexed-fastq/240701__3HP.reverse.fastq
3KN	/path/to/demultiplexed-fastq/240701__3KN.forward.fastq	/path/to/demultiplexed-fastq/240701__3KN.reverse.fastq
3OM	/path/to/demultiplexed-fastq/240701__3OM.forward.fastq	/path/to/demultiplexed-fastq/240701__3OM.reverse.fastq
3PM	/path/to/demultiplexed-fastq/240701__3PM.forward.fastq	/path/to/demultiplexed-fastq/240701__3PM.reverse.fastq
4AM	/path/to/demultiplexed-fastq/240701__4AM.forward.fastq	/path/to/demultiplexed-fastq/240701__4AM.reverse.fastq
4GL	/path/to/demultiplexed-fastq/240701__4GL.forward.fastq	/path/to/demultiplexed-fastq/240701__4GL.reverse.fastq
4HP	/path/to/demultiplexed-fastq/240701__4HP.forward.fastq	/path/to/demultiplexed-fastq/240701__4HP.reverse.fastq
4KN	/path/to/demultiplexed-fastq/240701__4KN.forward.fastq	/path/to/demultiplexed-fastq/240701__4KN.reverse.fastq
4OM	/path/to/demultiplexed-fastq/240701__4OM.forward.fastq	/path/to/demultiplexed-fastq/240701__4OM.reverse.fastq
4PM	/path/to/demultiplexed-fastq/240701__4PM.forward.fastq	/path/to/demultiplexed-fastq/240701__4PM.reverse.fastq
wt1	/path/to/demultiplexed-fastq/240701__wt1.forward.fastq	/path/to/demultiplexed-fastq/240701__wt1.reverse.fastq
wt2	/path/to/demultiplexed-fastq/240701__wt2.forward.fastq	/path/to/demultiplexed-fastq/240701__wt2.reverse.fastq
